,ms
0,10673.75
1,10673.75
2,10675.8
3,10674.05
4,10674.7
5,10674.7
6,10674.7
7,10674.7
8,10674.75
9,10674.8
10,10674.2
11,10674.05
12,10674.051
13,10674.05
14,10674.05
15,10674.05
16,10674.05
17,10674.05
18,10674.05
19,10674.05
20,10674.05
21,10674.05
22,10674.55
23,10674.55
24,10674.55
25,10674.55
26,10674.55
27,10674.55
28,10674.55
29,10674.55
30,10674.55
31,10674.55
32,10674.55
33,10674.55
34,10674.55
35,10674.55
36,10674.55
37,10674.6
38,10674.55
39,10674.6
40,10674.55
41,10674.55
42,10674.55
43,10674.55
44,10674.55
45,10674.55
46,10674.55
47,10674.55
48,10674.55
49,10674.55
50,10674.55
51,10674.55
52,10674.55
53,10674.55
54,10674.55
55,10674.55
56,10674.55
57,10674.55
58,10674.55
59,10674.55
60,10675.949
61,10676.0
62,10676.25
63,10676.051
64,10676.1
65,10676.15
66,10676.15
67,10676.1
68,10676.35
69,10676.301
70,10676.301
71,10676.301
72,10676.301
73,10676.301
74,10676.301
75,10676.301
76,10676.2
77,10676.2
78,10676.301
79,10676.301
80,10676.301
81,10675.6
82,10675.6
83,10675.6
84,10675.6
85,10675.5
86,10675.25
87,10675.15
88,10674.5
89,10674.5
90,10674.45
91,10674.35
92,10674.35
93,10674.3
94,10674.2
95,10674.2
96,10674.2
97,10674.15
98,10674.05
99,10674.05
100,10672.55
101,10672.55
102,10672.6
103,10671.85
104,10671.75
105,10671.8
106,10671.75
107,10671.75
108,10671.65
109,10671.6
110,10671.45
111,10671.4
112,10671.4
113,10671.449
114,10671.5
115,10671.75
116,10671.75
117,10671.5
118,10671.449
119,10671.45
120,10671.0
121,10671.051
122,10671.1
123,10671.1
124,10671.1
125,10670.9
126,10670.9
127,10670.9
128,10670.9
129,10670.9
130,10670.9
131,10670.9
132,10670.9
133,10670.9
134,10670.9
135,10670.9
136,10670.9
137,10670.9
138,10674.05
139,10673.949
140,10673.9
141,10673.9
142,10673.85
143,10673.85
144,10673.9
145,10673.949
